Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
4-(1-Methoxy-2-methylpropyl)pyridine,29190,
"4,5,6,8-PTetramethoxy-2,3-dihydroindeno[1,2,3-ij]isoquinolin-9-ol",4014831,
9-Hydroxyinalool,119829,
"Pentane, 2-chloro-",602589,
"1,2,6,8-Tetramethoxy-7-methyldihydrodibenzo[b,f]cyclohepten-5-one",751050,
"Propanoic acid, butyl ester",58532,
2-Vinylfuran ,764680,
"1,3-Benzodioxole",1369771,
"syn-(1RS,2'SR(E))-2-(3'-Amino-2'-methylpropylidene)cyclohexanol",146656,
2-[[4-Bromobut-2(E)-enyl]oxy]tetrahydropyran,32195,
"2,6-DIHYDROXYBENZOIC ACID 3TMS",38532,
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",23403,
Methylenecyclopropanecarboxylic acid,269388,
