Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"3-Formyl-N-methyl-9-[phenylethynyl]dibenzo[2,3-a : 5,6-a'] (1,4)-thiazine",4376113,
"3-Formyl-N-methyl-9-[phenylethynyl]dibenzo[2,3-a : 5,6-a'] (1,4)-thiazine",1200478,
"3-Hexanol, 5-methyl-",1080802,
3-Hexen-2-one,3084819,
"3-Hydroxy-3,7,7-trimethyl-1,8-nonadien-5-one",66877,
3-Hydroxy-4-(3-methybut-2-enyl)oxybutanoic acid,1665542,
3-Hydroxy-4-methylbenzaldehyde,765821,
3-Isopropylidenetetrahydrofuran-2-one,51633,
"3-Isoxazolamine, 5-methyl-",1581073,
3-methoxy-3-methylbut-1-yne ,22869,
3-Methy-2-hexen-5-ol,1049413,
3-Methyl-1-(2-tetrahydropyranyloxy)-2-butene,102437,
"3-Methylbenzoic acid, 2-formyl-4,6-dichlorophenyl ester",15333,
3-methylsulfinyl-3-methylbutan-1-ol,51639,
3-O-Ethoxymethyl-17.alpha.-carboxymethyl-17.beta.-estradiol,1011228,
"3-Octanol, 6-ethyl-",583175,
3-Tetradecanone,183790,
"4,4-Dimethoxybutanal",298133,
"4,6-Octadiyn-3-one, 2-methyl-",188137,
"4,8-Dimethyl-3(E),7-nonadienyl Thioacetate",108337,
4-(2'-methyltetrahydrofuran-2'-yl)butanone,44266,
4-(2'-methyltetrahydrofuran-2'-yl)butanone,35915,
4-(2'-methyltetrahydrofuran-2'-yl)butanone,13363,
"4-Benzyl-3-ethoxy-1,4-dihydro-4-hydroxy-1-phenylisoquinoline",13659,
4-Chloro-1-(2-furyl)-1-butanone,206135,
"4-fluor-1,2,3,5-dithiadiazolium",59502,
4-Fluoropyridine,37014,
4-Hydroxyhex-2-en-1-al,32990,
4-Hydroxymethyl-1-azabicyclo[3.3.0]octane isomer,96262,
